@relation outdoorStream

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric

@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}

@data
0,0,0,0,0,0,0,0.0009357,0.0131,0.0003119,0,0.030256,0.78072,0.15783,0.0006238,0.0028072,0.0028072,0.0053026,0.0003119,0.0028072,0.0021834,3
0.0002889,0,0,0,0,0,0,0.0014443,0.011265,0.0002889,0,0.022819,0.78596,0.15945,0.0011554,0.0008666,0.0043328,0.0072213,0,0.0023108,0.0025997,3
0.0002733,0,0,0,0,0,0,0.0024597,0.019131,0,0,0.02651,0.79721,0.13966,0,0.0024597,0.0010932,0.0030063,0.0005466,0.0040995,0.0035529,3
0,0,0,0,0,0,0,0.0007324,0.0092773,0,0,0.029541,0.78833,0.15552,0.0004883,0.0004883,0.0024414,0.0068359,0,0.0039062,0.0024414,3
0.0006903,0,0,0,0,0,0.0002301,0.0016107,0.021629,0.0013806,0,0.034054,0.79107,0.13369,0.0004602,0.0032214,0.0020709,0.0052922,0.0002301,0.0029913,0.0013806,3
0,0,0.0002122,0.0002122,0.0002122,0,0,0.0010611,0.018888,0,0,0.034805,0.78014,0.14155,0.0016978,0.0078523,0.00191,0.0048812,0.0004244,0.0042445,0.00191,3
0,0,0,0,0,0.0003874,0.0001937,0.0009684,0.015107,0.0001937,0.0001937,0.033895,0.78772,0.13771,0.0019369,0.0040674,0.003099,0.0054232,0.0003874,0.0050358,0.00368,3
0,0,0,0,0,0,0,0.0019745,0.014001,0.000359,0,0.032849,0.78083,0.14181,0.001795,0.0062825,0.002872,0.0066415,0.001077,0.005744,0.0037695,3
0,0,0,0,0,0.0001606,0,0.000803,0.020074,0.0006424,0.0001606,0.030673,0.77646,0.14309,0.0022483,0.0052995,0.0041754,0.0059419,0.0006424,0.0054601,0.0041754,3
0,0,0,0.000149,0.000149,0.000596,0,0.0008941,0.016242,0.0010431,0.000149,0.036209,0.77395,0.14141,0.0022351,0.0053643,0.0056623,0.0058114,0.000447,0.0040232,0.0056623,3
0.0004598,0.0002299,0.0011494,0.0006897,0.0004598,0.01954,0.0003448,0.0026437,0.015517,0.012299,0.020575,0.0009195,0.0026437,0.74391,0.16402,0.0027586,0.0002299,0.0047126,0.002069,0.0009195,0.003908,31
0.000417,0.000417,0.000417,0.000417,0.0005213,0.016993,0.0001043,0.0013553,0.015325,0.0087573,0.0196,0.0010425,0.0006255,0.75928,0.16149,0.0038574,0.0001043,0.0036489,0.0032319,0.000417,0.0019808,31
0.0007309,0.0001827,0.0004568,0.0004568,0.0005481,0.020007,9.14e-05,0.0017358,0.023205,0.012059,0.024027,0.0006395,0.0023753,0.7283,0.17577,0.0030148,0,0.002558,0.0018272,0.0001827,0.0018272,31
0.0004087,8.17e-05,0.0005722,0.0001635,0.0001635,0.02019,8.17e-05,0.00188,0.013896,0.010953,0.023704,0.001553,0.0021252,0.72609,0.18522,0.0047409,0.000327,0.0020435,0.0030244,0.0001635,0.0026157,31
0.0001475,0,0.0003688,7.38e-05,0.0005163,0.022937,7.38e-05,0.0010325,0.018585,0.014529,0.027952,0.0006638,0.000885,0.70957,0.19227,0.0046464,0.0003688,0.0016225,0.00177,7.38e-05,0.0019175,31
0.0011958,0.0003147,0.0005035,0.0006923,0.0003147,0.020832,0.0002517,0.002958,0.017119,0.012398,0.027818,0.0006923,0.001951,0.68034,0.21757,0.0062307,0.0005664,0.0033986,0.0021398,0.0003147,0.0023287,31
0.0005598,0.0006717,0.0003918,0.0005598,0.0005038,0.025301,0,0.0014554,0.022334,0.013546,0.029611,0.0011195,0.0008396,0.67697,0.21612,0.0053736,5.6e-05,0.0012874,0.002295,0.000112,0.0008956,31
4.82e-05,0,0.0011091,0.0010126,0.0009162,0.026859,0,0.0005304,0.025316,0.015286,0.033031,0.0011091,0.0005304,0.672,0.2128,0.0056418,0.0001929,0.0016395,0.0011091,0.0001447,0.0006751,31
0.0001744,0.000218,0.0003053,0.0005669,0.0005233,0.026688,4.36e-05,0.0006541,0.024464,0.013911,0.032749,0.0011774,0.0001308,0.66846,0.22139,0.0054945,8.72e-05,0.0007413,0.001439,0.0001308,0.0006541,31
0.0001153,0.0001153,0.0002305,0.0006531,0.0004994,0.020476,0,0.0002305,0.015444,0.010834,0.030657,0.0012294,0.000922,0.66777,0.24157,0.005801,0.0001153,0.0012294,0.001383,7.68e-05,0.0006531,31
